v2,Error
0.0,0.0
0.010101010101010102,5.113191984144254e-05
0.020202020202020204,0.00020582412138566786
0.030303030303030304,0.0004660505875607019
0.04040404040404041,0.0008338251986432263
0.05050505050505051,0.0013112027126590022
0.06060606060606061,0.001900279685692013
0.07070707070707072,0.0026031953122333173
0.08080808080808081,0.003422132163363248
0.09090909090909091,0.004359316798183115
0.10101010101010102,0.005417020221479375
0.11111111111111112,0.0065975581582090066
0.12121212121212122,0.007903291113058233
0.13131313131313133,0.009336624181099557
0.14141414141414144,0.010900006573556253
0.15151515151515152,0.012595930820906556
0.16161616161616163,0.014426931614144201
0.17171717171717174,0.016395584244013425
0.18181818181818182,0.018504502597581015
0.19191919191919193,0.020756336671657112
0.20202020202020204,0.023153769563470258
0.21212121212121213,0.025699513900701156
0.22222222222222224,0.02839630767560132
0.23232323232323235,0.03124690945155371
0.24242424242424243,0.03425409291511851
0.25252525252525254,0.03742064075244422
0.26262626262626265,0.040749337835911545
0.27272727272727276,0.04424296371503862
0.2828282828282829,0.047904284414983914
0.29292929292929293,0.051736043556374164
0.30303030303030304,0.05574095282155536
0.31313131313131315,0.05992168180458915
0.32323232323232326,0.06428084729517757
0.33333333333333337,0.06882100206001482
0.3434343434343435,0.07354462319850578
0.3535353535353536,0.07845410016311219
0.36363636363636365,0.0835517225474089
0.37373737373737376,0.08883966775691199
0.38383838383838387,0.09431998868850397
0.393939393939394,0.09999460155345927
0.4040404040404041,0.10586527398629979
0.4141414141414142,0.11193361358665165
0.42424242424242425,0.11820105704366031
0.43434343434343436,0.12466885999206663
0.4444444444444445,0.13133808774565375
0.4545454545454546,0.13820960704725793
0.4646464646464647,0.1452840789650015
0.4747474747474748,0.15256195305182615
0.48484848484848486,0.160043462870055
0.494949494949495,0.16772862296479524
0.5050505050505051,0.17561722734991594
0.5151515151515152,0.183708849548483
0.5252525252525253,0.19200284420644742
0.5353535353535354,0.20049835027455817
0.5454545454545455,0.2091942957295264
0.5555555555555556,0.21808940378192496
0.5656565656565657,0.22718220049578705
0.5757575757575758,0.23647102372387768
0.5858585858585859,0.2459540332436525
0.595959595959596,0.25562922196239735
0.6060606060606061,0.2654944280463511
0.6161616161616162,0.27554734781796764
0.6262626262626263,0.2857855492580614
0.6363636363636365,0.2962064859454884
0.6464646464646465,0.30680751126619793
0.6565656565656566,0.3175858927258715
0.6666666666666667,0.3285388262056948
0.6767676767676768,0.3396634500089189
0.686868686868687,0.3509568585563296
0.696969696969697,0.36241611560126646
0.7070707070707072,0.37403826684899144
0.7171717171717172,0.3858203518805863
0.7272727272727273,0.3977594152977413
0.7373737373737375,0.4098525170213539
0.7474747474747475,0.42209674169348305
0.7575757575757577,0.4344892071483982
0.7676767676767677,0.44702707193405644
0.7777777777777778,0.4597075418799827
0.787878787878788,0.472527875720974
0.797979797979798,0.48548538979821154
0.8080808080808082,0.4985774618700287
0.8181818181818182,0.5118015340737065
0.8282828282828284,0.5251551150872685
0.8383838383838385,0.5386357815462288
0.8484848484848485,0.5522411787747578
0.8585858585858587,0.5659690208937834
0.8686868686868687,0.5798170903702813
0.8787878787878789,0.5937832370724977
0.888888888888889,0.6078653768952746
0.8989898989898991,0.6220614900181363
0.9090909090909092,0.6363696188564498
0.9191919191919192,0.6507878657630175
0.9292929292929294,0.6653143905339371
0.9393939393939394,0.6799474077686893
0.9494949494949496,0.6946851841302568
0.9595959595959597,0.7095260355467554
0.9696969696969697,0.7244683243916951
0.9797979797979799,0.7395104566756372
0.98989898989899,0.7546508792777468
1.0,0.7698880772416723
